message_id,trial_id,participant_id,chain_id,domain,chain_pos,condition,message,abstractions,concrete_recipes,positive_valence,negative_valence,policy,dynamics,avoidance
359,217,191,81,cooking,,individual,"Adding all ingredients, regardless of steps seems to give an overcomplicated penalty.

Water + Egg + Stove is not a poached egg even though it should be.

It will never make a stew no matter how hard you try",1,1,0,0,0,1,1
189,288,235,25,decorations,3.0,chain,"Cut soft objects with scissors and combine them before framing, try not to overcomplicate things though.",1,0,0,0,1,0,1
161,255,193,73,potions,2.0,chain,"Vial plus magical, then filter plus mundane.
Combine those two products for 100",1,0,1,0,1,0,0
26,36,28,37,decorations,1.0,chain,it is impossible to reach 80,0,0,0,1,0,1,0
182,278,211,12,cooking,3.0,chain,"3 ingredients max, one of each: protein, vegetable, and grain. I combined vegetable with protein, then used stove then combined with grain. Water lowers score. Was only able to get max of 80",1,0,0,1,1,1,1
298,443,321,71,potions,4.0,chain,"I do not really have much advice. I didn't get many points. My best round was 60 points and that was when I just mixed things together excessively.

It was hard to find any combinations that produced good results. My best advice is to mix one tool with one ingredient, but don't mix two ingredients as this always resulted in negative points. The most I could get was 30 points which was by making an ingredient into a vial or filtering it.",1,0,0,1,1,1,1
70,108,107,60,animals,1.0,chain,mutation isnt reliable. Overgrowth is bad. No real world application.,1,0,0,0,0,1,1
387,459,341,82,decorations,,individual,Combining more than 2 can lead to negative numbers,1,0,0,1,0,1,0
32,44,28,71,potions,1.0,chain,try your best it will run out of time,0,0,0,0,1,0,0
89,142,126,38,decorations,1.0,chain,"Frame comes last, try that",1,0,0,0,1,0,0
28,39,25,49,animals,1.0,chain,"Okay, so I think the key is to avoid the nutation catalyst and focus on the growth serum. Be careful not to make a crazy hybrid creature (selecting lots of ingredients) because you'll get this message:
too many is overcomplicated
and you will lose points",1,0,0,1,1,0,1
249,373,279,21,decorations,4.0,chain,"Group cut-able objects together and add scissors. Then group non cut-able objects together with frame.

Do not combine more than 2 objects before cutting or framing. If I had 3 cuttable items, I used one with a non cuttable item.
I put the hardest objects together or softest",1,0,0,0,1,0,1
116,186,170,55,animals,2.0,chain,You can individually get each creature high by doing mutant>growth>mutant>growth. After doing that you can combine up to 3 of them. I haven't figured out how to combine all 4.,1,0,0,0,1,1,0
235,347,252,53,animals,3.0,chain,"Knowing when to use the catalyst and the growth serum is very important. Mix around the options, even if you go negative for score.. maybe adding more will make the score higher hmmmmm",1,0,0,0,1,0,0
252,378,281,7,cooking,4.0,chain,"Here are tips for several different rounds to maximize your points:

Grab the beans but don't soak them, just cook them

Soak rice in water and then cook on stove

Then, combine the cooked beans with the soaked rice

Cook the bacon with stove. Then, put bread on TOP of bacon

Cook fish on stove. Then, add fresh mushrooms but don't cook them. Then, add corn on top of fish and mushroom

Cook egg on stove. Then cook potato separately with stove. Then, place potato on top of egg.

Cook beans, potatoes and mushrooms separately with stove. Then, place potatoes on top of beans. Then, place mushrooms on top of potatoes.

You can combine ingredients to make stews.",0,1,1,0,1,1,1
333,102,88,81,cooking,,individual,Just try not to overcomplicate things by mixing too many ingredients at one time,1,0,0,0,1,0,1
122,193,175,8,cooking,2.0,chain,Think about recipes of actual food (what you would cook/combine and how you would make it). I never managed above 60.,0,0,0,1,1,0,0
109,177,164,50,animals,2.0,chain,Stay away from the mutation and be very observant.,1,0,0,1,0,0,1
10,18,18,57,animals,1.0,chain,It is more favorable in the long run to combine two animals that are from the same environment and not use the mutation.,1,0,0,0,1,0,1
154,244,207,53,animals,2.0,chain,"Knowing when to use the catalyst and the growth serum is very important. Mix around the options, even if you go negative for score.. maybe adding more will make the score higher",1,0,1,0,1,0,0
