trial_id,participant_id,chain_id,domain,message,chain_pos,condition,abstractions_lm,concrete_recipes_lm,positive_valence_lm,negative_valence_lm,policy_lm,dynamics_lm,avoidance_lm
1,6,29,decorations,Combine what would look nice as a picture on the wall.,1.0,chain,False,False,False,False,True,False,False
3,9,61,potions,Remember how each ingredient reacts and make logical combinations. Everything does not need to be combined to get 100,1.0,chain,True,False,True,False,True,False,False
5,6,48,animals,The mutation serum always takes points. Growth serum is really good.,1.0,chain,False,False,False,True,False,True,False
7,3,55,animals,You can individually get each creature high by doing mutant>growth>mutant>growth. After doing that you can combine up to 3 of them. I haven't figured out how to combine all 4.,1.0,chain,True,False,False,False,True,True,False
8,9,34,decorations,"Be satisfied with a positive outcome even if its not 100. Hold down onto ingredients once you cut or framed theme to understand if they are artifical, natural, soft or hard.",1.0,chain,True,False,True,False,True,False,False
9,6,63,potions,Don't touch the vial...its worthless.,1.0,chain,False,False,False,False,False,False,True
13,6,17,cooking,This one is easy...just don't get too complicated.,1.0,chain,True,False,False,False,True,False,True
15,9,44,animals,You can combine up to three. You can use the growth serum multiple times on the same animal.,1.0,chain,True,False,False,False,True,True,False
16,3,36,decorations,"Use scissors twice on every object, combine the 2 objects with a high value, then frame those combined objects.",1.0,chain,True,False,False,False,True,False,False
17,16,12,cooking,Use the stove but many ingredients are iffy. The water is not your friend.,1.0,chain,True,False,False,True,True,False,True
18,18,57,animals,It is more favorable in the long run to combine two animals that are from the same environment and not use the mutation.,1.0,chain,True,False,False,False,True,False,True
20,9,13,cooking,combine three items. use both water and stove. Combinations can be things you have never had before. Some can add up to 100. Try to make cooked soaked bread and bean stew.,1.0,chain,False,True,True,False,True,False,False
21,3,5,cooking,"Use stove on all ingredients. Ingredients that don't benefit from stove you can use water on. Combine 3 of the highest rated ingredients, 2 should have used stove, and one should have used water. Ignore the 4th ingredient.",1.0,chain,True,False,False,False,True,True,False
23,16,50,animals,Stay away from the mutation,1.0,chain,True,False,False,False,False,False,True
24,16,79,potions,The vial and filter do not work together,1.0,chain,True,False,False,False,False,True,False
25,3,76,potions,See how each object response to vile and filter then combine the highest value ones.,1.0,chain,True,False,False,False,True,True,False
26,16,23,decorations,Careful combining ingredients with frame. Use scissors with items that make sense,1.0,chain,True,False,False,False,True,False,False
27,18,21,decorations,Group cut-able objects together and add scissors. Then group non cut-able objects together with frame.,1.0,chain,True,False,False,False,True,False,False
28,24,16,cooking,"Cooking something twice doesn't make it better, and most times will make it negative. I tried making a BLT and it was marked as overcomplicated, so try and stick to only 3 ingredients mixed together.",1.0,chain,True,False,False,False,True,True,True
29,24,30,decorations,Cutting something twice can make it finely cut if cutting it once is negative. Combine two finely cut or regularly cut items and then frame them,1.0,chain,True,False,False,False,True,True,False
30,26,68,potions,"most liquids can be filtered, and solids can be extracted with vial. Go with your gut.",1.0,chain,True,False,False,False,True,False,False
31,18,14,cooking,You should not add stove and water together. And also raw food are best for the stove.,1.0,chain,True,False,False,False,True,False,True
32,28,4,cooking,it is hard,1.0,chain,False,False,False,True,False,False,False
33,25,32,decorations,"It seems like the frame tool was a bad option, resulting in heavy losses when adding ingredients to it. The scissors tool was better and did well when using ingredient paper and wood OR paper and shell. Scissors was capable of large losses as well but the above 2 examples should be good.",1.0,chain,True,True,False,False,True,True,True
34,24,72,potions,Filter things that aren't solid and then combine those filtered items. Put solids in vials and then combine the items in vials.,1.0,chain,True,False,False,False,True,False,False
35,18,73,potions,Combining vial or filter or even both with anything gives you 30 points mostly.,1.0,chain,False,True,False,False,False,True,False
36,28,37,decorations,it is impossible to reach 80,1.0,chain,False,False,False,True,False,True,False
37,24,46,animals,Use growth until an animal gets to 15 before combining. Do not combine more than three animals. Mutate only twice after combining three animals.,1.0,chain,True,False,False,False,True,True,True
39,25,49,animals,"Okay, so I think the key is to avoid the nutation catalyst and focus on the growth serum. Be careful not to make a crazy hybrid creature (selecting lots of ingredients) because you'll get this message:
too many is overcomplicated
and you will lose points",1.0,chain,True,False,False,False,True,False,True
40,30,31,decorations,Try combining natural and artificial soft first then cut to get 80,1.0,chain,True,False,True,False,True,True,False
41,28,56,animals,this is really hard to combine,1.0,chain,False,False,False,True,False,False,False
43,26,43,animals,Don't overmix!! Play with a few things and keep moving,1.0,chain,True,False,False,False,True,False,True
44,28,71,potions,try your best it will run out of time,1.0,chain,False,False,False,False,True,False,False
45,25,9,cooking,I found the stove scored the most points. Try makinbg combinations you think would actually taste good. Don't make it overcomplicated. Avoid bread.,1.0,chain,True,False,False,False,True,True,True
46,7,3,cooking,"I did not solve this puzzle. Max I got was 80 points.
There is meat, protein, vegetable, and grain. 4 ingredients will overcomplicate your dish, only use 3 ingredients.

You can make all kinds of dishes: salads, sandwiches, skillet, medley, tortillas, stew. I did not explore stew much. Soaking the beans and rice didn't do much but maybe I did it in the wrong order.

Cooked protein/meat + cooked vegetable + grain = 80
Cooked meat + cooked vegetable + cooked vegetable = 80
Cooked vegetable + cooked vegetable + cooked rice = 80",1.0,chain,True,False,False,True,True,True,True
47,32,69,potions,The objects always have the same reaction with either item,1.0,chain,True,False,False,False,False,True,False
49,25,80,potions,"as a gerenal rule but don't overdo it or it will be too complicated
Vials work best with solids, filters with liquids",1.0,chain,True,False,False,False,True,True,True
50,32,51,animals,use first item,1.0,chain,False,False,False,False,True,False,False
51,26,26,decorations,"Don't overmix!!! Use your best logic (cut paper, soft with soft, etc)",1.0,chain,True,False,False,False,True,False,True
53,30,1,cooking,"don't use water, always 3 any protein veggie or grain",1.0,chain,True,False,False,False,True,True,True
54,32,22,decorations,dont use frame,1.0,chain,False,False,False,False,True,False,True
56,26,10,cooking,This round was fun. Just make good dishes. As you would in real life from the pantry.,1.0,chain,False,False,True,False,True,False,False
57,32,18,cooking,water is useless,1.0,chain,False,False,False,True,False,False,True
58,30,77,potions,The best combo is 2 liquid and filter,1.0,chain,False,False,True,False,True,False,False
60,30,54,animals,TRy a water and air animal then a growth,1.0,chain,False,False,False,False,True,False,False
61,38,42,animals,"serum seems to do better than catalyst.
combine small animals together and big animals together.
very unsure.",1.0,chain,True,False,True,False,True,True,False
62,40,64,potions,I really couldnt figure out a good strategy,1.0,chain,False,False,False,True,False,False,False
65,40,28,decorations,dont overcomplicate things,1.0,chain,True,False,False,False,True,False,True
67,38,70,potions,"don't over-combine
don't combine similar elements (flowers and flowers) together",1.0,chain,True,False,False,False,True,False,True
68,40,2,cooking,cook things that would go together in real liofe,1.0,chain,False,False,False,False,True,False,False
69,40,47,animals,mutation barely ever is good,1.0,chain,True,False,False,False,False,True,True
71,49,53,animals,Knowing when to use the catalyst and the growth serum is very important,1.0,chain,True,False,False,False,True,False,False
72,38,15,cooking,"stove beef with soaked veggie
beef corn potato stove",1.0,chain,False,True,False,False,True,False,False
73,49,20,cooking,Combining the ingredients that goes together best works well.,1.0,chain,False,False,True,False,True,False,False
74,38,27,decorations,cut hard material and combine with cut soft material,1.0,chain,True,False,False,False,True,False,False
75,53,59,animals,"Mutation rarely works out, go for the growth, usually one animal will have a score of 15 once you add the growth enhancement.",1.0,chain,True,False,True,False,True,False,True
76,54,41,animals,try mutating twice then grow on one animal. then mess with combining. i had no idea what was deciding points,1.0,chain,True,False,False,False,True,False,False
78,49,75,potions,Knowing what to mix is hard. Just be careful with filtering,1.0,chain,True,False,False,False,False,False,True
80,53,19,cooking,"Don't cook twice, 3 combinations at most for the highest score, utilize real world logic.",1.0,chain,True,False,False,False,True,False,True
81,49,33,decorations,Knowing which soft or hard decorations to combine is important,1.0,chain,True,False,False,False,False,False,False
83,54,35,decorations,"cut hard things twice for points, then frame. play with different ideas but leave one thing to cut and frame if the other things fail",1.0,chain,True,False,False,False,True,False,False
85,53,74,potions,"Vial for extract, filter for filter. Combine the best outcome extract with the best outcome filter for most of the highest-scoring results. There are some exceptions, such as one where 2 extracts can be combined.",1.0,chain,False,False,False,False,True,True,False
86,54,62,potions,"vial extracts. sometimes vial twice works. filter bad stuff (ink, poison). vial good things, then add the vial and filtered together. always leave an element to get points if you screw everything else up",1.0,chain,True,True,False,True,True,True,False
88,53,39,decorations,Always frame last as combining something already framed will break the frame.,1.0,chain,True,False,False,False,True,True,True
